ID	type	start	end	length
ID=HORVU.MOREX.r3.1HG0000070.1	intron five_prime_UTR	146750	146980	232
ID=HORVU.MOREX.r3.1HG0000080.1	intron five_prime_UTR	153530	153625	97
ID=HORVU.MOREX.r3.1HG0000620.1	intron five_prime_UTR	1614154	1615780	1628
ID=HORVU.MOREX.r3.1HG0000620.2	intron five_prime_UTR	1614154	1615780	1628
ID=HORVU.MOREX.r3.1HG0000620.3	intron five_prime_UTR	1614665	1615780	1117
ID=HORVU.MOREX.r3.1HG0000670.1	intron five_prime_UTR	1725555	1726142	589
ID=HORVU.MOREX.r3.1HG0000990.1	intron five_prime_UTR	2301295	2301473	180
ID=HORVU.MOREX.r3.1HG0002160.1	intron five_prime_UTR	4509034	4509755	723
ID=HORVU.MOREX.r3.1HG0002160.2	intron five_prime_UTR	4509646	4509755	111
ID=HORVU.MOREX.r3.1HG0002450.1	intron five_prime_UTR	5067209	5067686	479
ID=HORVU.MOREX.r3.1HG0002450.2	intron five_prime_UTR	5067209	5067686	479
ID=HORVU.MOREX.r3.1HG0003090.2	intron three_prime_UTR	5946475	5974459	27986
ID=HORVU.MOREX.r3.1HG0003090.6	intron three_prime_UTR	5946475	5974459	27986
ID=HORVU.MOREX.r3.1HG0003140.1	intron five_prime_UTR	6142414	6143591	1179
ID=HORVU.MOREX.r3.1HG0003430.1	intron five_prime_UTR	6978791	6979299	510
ID=HORVU.MOREX.r3.1HG0003860.1	intron five_prime_UTR	8315672	8316318	648
ID=HORVU.MOREX.r3.1HG0004210.1	intron five_prime_UTR	8934744	8935980	1238
ID=HORVU.MOREX.r3.1HG0004280.1	intron five_prime_UTR	9112635	9115842	3209
ID=HORVU.MOREX.r3.1HG0004280.2	intron five_prime_UTR	9115176	9115842	668
ID=HORVU.MOREX.r3.1HG0004280.3	intron five_prime_UTR	9115751	9115842	93
ID=HORVU.MOREX.r3.1HG0004560.1	intron five_prime_UTR	9329258	9330680	1424
ID=HORVU.MOREX.r3.1HG0005000.1	intron five_prime_UTR	9900348	9900543	197
ID=HORVU.MOREX.r3.1HG0005400.1	intron five_prime_UTR	10818013	10819100	1089
ID=HORVU.MOREX.r3.1HG0006160.1	intron five_prime_UTR	12730764	12730930	168
ID=HORVU.MOREX.r3.1HG0007160.1	intron three_prime_UTR	14661381	14662100	721
ID=HORVU.MOREX.r3.1HG0007160.1	intron three_prime_UTR	14662182	14662301	121
ID=HORVU.MOREX.r3.1HG0007200.1	intron five_prime_UTR	14711000	14711164	166
ID=HORVU.MOREX.r3.1HG0007370.2	intron three_prime_UTR	15093762	15093878	118
ID=HORVU.MOREX.r3.1HG0008520.1	intron five_prime_UTR	20130770	20130859	91
ID=HORVU.MOREX.r3.1HG0009210.1	intron three_prime_UTR	22087974	22088084	112
ID=HORVU.MOREX.r3.1HG0010140.1	intron five_prime_UTR	23810121	23810213	94
ID=HORVU.MOREX.r3.1HG0010470.1	intron five_prime_UTR	24632273	24633944	1673
ID=HORVU.MOREX.r3.1HG0010890.1	intron five_prime_UTR	25695724	25696730	1008
ID=HORVU.MOREX.r3.1HG0011180.1	intron three_prime_UTR	26918132	26918927	797
ID=HORVU.MOREX.r3.1HG0011360.1	intron five_prime_UTR	27495340	27495983	645
ID=HORVU.MOREX.r3.1HG0011680.1	intron three_prime_UTR	28395298	28395440	144
ID=HORVU.MOREX.r3.1HG0011680.1	intron three_prime_UTR	28395527	28395636	111
ID=HORVU.MOREX.r3.1HG0011960.1	intron five_prime_UTR	29249937	29251312	1377
ID=HORVU.MOREX.r3.1HG0012100.1	intron five_prime_UTR	29422638	29423278	642
ID=HORVU.MOREX.r3.1HG0012160.1	intron five_prime_UTR	29528580	29528686	108
ID=HORVU.MOREX.r3.1HG0012160.1	intron five_prime_UTR	29528747	29528898	153
ID=HORVU.MOREX.r3.1HG0012160.2	intron five_prime_UTR	29528580	29528683	105
ID=HORVU.MOREX.r3.1HG0012160.2	intron five_prime_UTR	29528747	29528898	153
ID=HORVU.MOREX.r3.1HG0012570.1	intron five_prime_UTR	31165242	31165321	81
ID=HORVU.MOREX.r3.1HG0012580.1	intron five_prime_UTR	31187933	31188018	87
ID=HORVU.MOREX.r3.1HG0012630.1	intron five_prime_UTR	31332546	31332650	106
ID=HORVU.MOREX.r3.1HG0013040.1	intron five_prime_UTR	32366793	32368232	1441
ID=HORVU.MOREX.r3.1HG0013180.1	intron five_prime_UTR	32533683	32534378	697
ID=HORVU.MOREX.r3.1HG0013300.1	intron five_prime_UTR	32991483	32991597	116
ID=HORVU.MOREX.r3.1HG0014190.1	intron five_prime_UTR	36905095	36906426	1333
ID=HORVU.MOREX.r3.1HG0014190.1	intron five_prime_UTR	36906544	36907330	788
ID=HORVU.MOREX.r3.1HG0014190.2	intron five_prime_UTR	36905095	36906426	1333
ID=HORVU.MOREX.r3.1HG0014190.2	intron five_prime_UTR	36906544	36907330	788
ID=HORVU.MOREX.r3.1HG0014190.2	intron three_prime_UTR	36914506	36915309	805
ID=HORVU.MOREX.r3.1HG0014340.1	intron three_prime_UTR	37479023	37479995	974
ID=HORVU.MOREX.r3.1HG0014340.2	intron three_prime_UTR	37479023	37479995	974
ID=HORVU.MOREX.r3.1HG0015890.1	intron five_prime_UTR	45285113	45286141	1030
ID=HORVU.MOREX.r3.1HG0016180.1	intron five_prime_UTR	46808524	46808624	102
ID=HORVU.MOREX.r3.1HG0016760.1	intron five_prime_UTR	49839515	49840798	1285
ID=HORVU.MOREX.r3.1HG0016760.1	intron three_prime_UTR	49842694	49842814	122
ID=HORVU.MOREX.r3.1HG0016760.2	intron five_prime_UTR	49839515	49840798	1285
ID=HORVU.MOREX.r3.1HG0017750.1	intron five_prime_UTR	56658363	56660029	1668
