ID	type	start	end	length
ID=HORVU.MOREX.r3.1HG0013040.1	intron five_prime_UTR	32366793	32368232	1441
ID=HORVU.MOREX.r3.1HG0016180.1	intron five_prime_UTR	46808524	46808624	102
ID=HORVU.MOREX.r3.1HG0033800.1	intron three_prime_UTR	179225709	179226387	680
ID=HORVU.MOREX.r3.1HG0033800.1	intron three_prime_UTR	179226467	179227377	912
ID=HORVU.MOREX.r3.1HG0033820.1	intron three_prime_UTR	179278895	179278985	92
ID=HORVU.MOREX.r3.1HG0036900.1	intron five_prime_UTR	220266901	220267015	116
ID=HORVU.MOREX.r3.1HG0036900.1	intron five_prime_UTR	220267198	220267704	508
ID=HORVU.MOREX.r3.1HG0036900.2	intron five_prime_UTR	220266901	220267015	116
ID=HORVU.MOREX.r3.1HG0040200.1	intron three_prime_UTR	254273004	254273075	73
ID=HORVU.MOREX.r3.1HG0040200.1	intron three_prime_UTR	254273172	254273252	82
ID=HORVU.MOREX.r3.1HG0041920.1	intron five_prime_UTR	268210511	268210603	94
ID=HORVU.MOREX.r3.1HG0041920.1	intron five_prime_UTR	268210661	268210757	98
ID=HORVU.MOREX.r3.1HG0041920.1	intron five_prime_UTR	268210814	268210958	146
ID=HORVU.MOREX.r3.1HG0041920.1	intron three_prime_UTR	268212842	268213165	325
ID=HORVU.MOREX.r3.1HG0041920.1	intron three_prime_UTR	268213267	268219103	5838
ID=HORVU.MOREX.r3.1HG0041920.1	intron three_prime_UTR	268219457	268219547	92
ID=HORVU.MOREX.r3.1HG0046530.1	intron five_prime_UTR	306136312	306137465	1155
ID=HORVU.MOREX.r3.1HG0046530.2	intron five_prime_UTR	306136312	306137452	1142
ID=HORVU.MOREX.r3.1HG0051340.2	intron three_prime_UTR	342712095	342716886	4793
ID=HORVU.MOREX.r3.1HG0054270.2	intron three_prime_UTR	362790343	362790452	111
ID=HORVU.MOREX.r3.1HG0055570.1	intron three_prime_UTR	370858845	370858947	104
ID=HORVU.MOREX.r3.1HG0055570.1	intron three_prime_UTR	370859029	370859110	83
ID=HORVU.MOREX.r3.1HG0055570.2	intron three_prime_UTR	370858845	370858947	104
ID=HORVU.MOREX.r3.1HG0055570.3	intron three_prime_UTR	370859029	370859110	83
ID=HORVU.MOREX.r3.1HG0055570.4	intron three_prime_UTR	370859029	370859110	83
ID=HORVU.MOREX.r3.1HG0056510.1	intron three_prime_UTR	376985969	376986109	142
ID=HORVU.MOREX.r3.1HG0056510.1	intron three_prime_UTR	376986288	376987174	888
ID=HORVU.MOREX.r3.1HG0056510.1	intron three_prime_UTR	376987353	376988152	801
ID=HORVU.MOREX.r3.1HG0056510.1	intron three_prime_UTR	376988387	376988482	97
ID=HORVU.MOREX.r3.1HG0056510.1	intron three_prime_UTR	376988578	376988682	106
ID=HORVU.MOREX.r3.1HG0056510.1	intron three_prime_UTR	376988819	376989113	296
ID=HORVU.MOREX.r3.1HG0056510.1	intron three_prime_UTR	376989189	376989447	260
ID=HORVU.MOREX.r3.1HG0060850.1	intron five_prime_UTR	404768964	404769113	151
ID=HORVU.MOREX.r3.1HG0063090.1	intron three_prime_UTR	417538095	417538857	764
ID=HORVU.MOREX.r3.1HG0063090.1	intron three_prime_UTR	417538996	417539119	125
ID=HORVU.MOREX.r3.1HG0063090.2	intron three_prime_UTR	417538996	417539119	125
ID=HORVU.MOREX.r3.1HG0063090.3	intron three_prime_UTR	417538095	417538204	111
ID=HORVU.MOREX.r3.1HG0063090.3	intron three_prime_UTR	417538996	417539119	125
ID=HORVU.MOREX.r3.1HG0063400.1	intron five_prime_UTR	418396207	418396890	685
ID=HORVU.MOREX.r3.1HG0073190.1	intron five_prime_UTR	461481528	461482491	965
ID=HORVU.MOREX.r3.1HG0079300.2	intron three_prime_UTR	483523919	483529380	5463
ID=HORVU.MOREX.r3.1HG0079300.3	intron three_prime_UTR	483529528	483529763	237
ID=HORVU.MOREX.r3.1HG0080170.1	intron five_prime_UTR	485530643	485531102	461
ID=HORVU.MOREX.r3.1HG0082140.1	intron five_prime_UTR	490004335	490004488	155
ID=HORVU.MOREX.r3.1HG0082430.1	intron five_prime_UTR	490398517	490399713	1198
ID=HORVU.MOREX.r3.1HG0085250.1	intron three_prime_UTR	495565342	495566517	1177
ID=HORVU.MOREX.r3.1HG0090050.1	intron five_prime_UTR	504435731	504437054	1325
ID=HORVU.MOREX.r3.1HG0090050.1	intron five_prime_UTR	504437284	504437435	153
ID=HORVU.MOREX.r3.1HG0090050.1	intron five_prime_UTR	504437677	504437757	82
ID=HORVU.MOREX.r3.1HG0090050.1	intron five_prime_UTR	504438030	504438377	349
ID=HORVU.MOREX.r3.1HG0090050.1	intron five_prime_UTR	504438837	504438913	78
ID=HORVU.MOREX.r3.1HG0090050.1	intron five_prime_UTR	504439031	504439563	534
ID=HORVU.MOREX.r3.2HG0100030.1	intron three_prime_UTR	10958448	10959021	575
ID=HORVU.MOREX.r3.2HG0117180.1	intron three_prime_UTR	57668381	57668461	82
ID=HORVU.MOREX.r3.2HG0133570.1	intron five_prime_UTR	157537345	157537821	478
ID=HORVU.MOREX.r3.2HG0135590.2	intron three_prime_UTR	171774402	171774481	81
ID=HORVU.MOREX.r3.2HG0138390.2	intron three_prime_UTR	194780736	194781172	438
ID=HORVU.MOREX.r3.2HG0144060.1	intron five_prime_UTR	244895829	244895907	80
ID=HORVU.MOREX.r3.2HG0144060.1	intron three_prime_UTR	244931186	244931356	172
ID=HORVU.MOREX.r3.2HG0144060.2	intron five_prime_UTR	244895829	244895907	80
ID=HORVU.MOREX.r3.2HG0144060.3	intron five_prime_UTR	244895829	244895907	80
ID=HORVU.MOREX.r3.2HG0144060.3	intron three_prime_UTR	244931186	244931400	216
ID=HORVU.MOREX.r3.2HG0144520.1	intron five_prime_UTR	249260105	249260173	70
ID=HORVU.MOREX.r3.2HG0144520.2	intron five_prime_UTR	249260105	249260173	70
ID=HORVU.MOREX.r3.2HG0146410.1	intron three_prime_UTR	275103372	275104722	1352
ID=HORVU.MOREX.r3.2HG0146990.1	intron five_prime_UTR	283124003	283124094	93
ID=HORVU.MOREX.r3.2HG0146990.2	intron five_prime_UTR	283123995	283124094	101
ID=HORVU.MOREX.r3.2HG0146990.3	intron five_prime_UTR	283124025	283124094	71
ID=HORVU.MOREX.r3.2HG0148770.1	intron three_prime_UTR	303853564	303853945	383
ID=HORVU.MOREX.r3.2HG0148770.2	intron three_prime_UTR	303853564	303853945	383
ID=HORVU.MOREX.r3.2HG0148890.2	intron three_prime_UTR	305193113	305193865	754
ID=HORVU.MOREX.r3.2HG0150380.1	intron three_prime_UTR	324646153	324646234	83
ID=HORVU.MOREX.r3.2HG0150380.1	intron three_prime_UTR	324646350	324646904	556
ID=HORVU.MOREX.r3.2HG0150380.1	intron three_prime_UTR	324647099	324647542	445
ID=HORVU.MOREX.r3.2HG0150380.1	intron three_prime_UTR	324647626	324648113	489
ID=HORVU.MOREX.r3.2HG0150380.1	intron three_prime_UTR	324648238	324648832	596
ID=HORVU.MOREX.r3.2HG0150380.1	intron three_prime_UTR	324648917	324649003	88
ID=HORVU.MOREX.r3.2HG0150380.1	intron three_prime_UTR	324649126	324649862	738
ID=HORVU.MOREX.r3.2HG0150380.1	intron three_prime_UTR	324650150	324650750	602
ID=HORVU.MOREX.r3.2HG0151180.1	intron three_prime_UTR	333896779	333896862	85
ID=HORVU.MOREX.r3.2HG0159560.1	intron five_prime_UTR	409670887	409671371	486
ID=HORVU.MOREX.r3.2HG0159560.1	intron five_prime_UTR	409671412	409674185	2775
ID=HORVU.MOREX.r3.2HG0163180.1	intron five_prime_UTR	436468556	436469922	1368
ID=HORVU.MOREX.r3.2HG0164890.1	intron five_prime_UTR	451432511	451432700	191
ID=HORVU.MOREX.r3.2HG0168620.1	intron three_prime_UTR	477804683	477804768	87
ID=HORVU.MOREX.r3.2HG0171380.1	intron five_prime_UTR	498442104	498442181	79
ID=HORVU.MOREX.r3.2HG0171380.2	intron five_prime_UTR	498442318	498442385	69
ID=HORVU.MOREX.r3.2HG0171380.2	intron five_prime_UTR	498442564	498442641	79
ID=HORVU.MOREX.r3.2HG0175950.1	intron three_prime_UTR	529924469	529925774	1307
ID=HORVU.MOREX.r3.2HG0182520.1	intron five_prime_UTR	562618774	562621929	3157
ID=HORVU.MOREX.r3.2HG0182560.1	intron three_prime_UTR	562736350	562736657	309
ID=HORVU.MOREX.r3.2HG0182560.1	intron three_prime_UTR	562737869	562737970	103
ID=HORVU.MOREX.r3.2HG0182750.1	intron three_prime_UTR	563605530	563605750	222
