ID	type	start	end	length
ID=HORVU.MOREX.r3.1HG0000010.1	intron 	49773	50194	423
ID=HORVU.MOREX.r3.1HG0000100.1	intron 	162713	162817	106
ID=HORVU.MOREX.r3.1HG0000100.1	intron 	163069	163164	97
ID=HORVU.MOREX.r3.1HG0000100.1	intron 	163386	166230	2846
ID=HORVU.MOREX.r3.1HG0000120.1	intron 	190996	191280	286
ID=HORVU.MOREX.r3.1HG0000170.1	intron 	424743	429267	4526
ID=HORVU.MOREX.r3.1HG0000190.1	intron 	437991	438084	95
ID=HORVU.MOREX.r3.1HG0000310.1	intron 	801474	801554	82
ID=HORVU.MOREX.r3.1HG0000310.1	intron 	801727	801962	237
ID=HORVU.MOREX.r3.1HG0000320.1	intron 	813885	814009	126
ID=HORVU.MOREX.r3.1HG0000320.1	intron 	814416	814521	107
ID=HORVU.MOREX.r3.1HG0000330.1	intron 	821497	821667	172
ID=HORVU.MOREX.r3.1HG0000330.1	intron 	821806	821975	171
ID=HORVU.MOREX.r3.1HG0000560.1	intron 	1575791	1576907	1118
ID=HORVU.MOREX.r3.1HG0000740.1	intron 	1824829	1827435	2608
ID=HORVU.MOREX.r3.1HG0000740.1	intron 	1827589	1827678	91
ID=HORVU.MOREX.r3.1HG0000920.1	intron 	2143530	2143651	123
ID=HORVU.MOREX.r3.1HG0000980.1	intron 	2300508	2300793	287
ID=HORVU.MOREX.r3.1HG0001200.1	intron 	2695067	2695142	77
ID=HORVU.MOREX.r3.1HG0001200.1	intron 	2695234	2695545	313
ID=HORVU.MOREX.r3.1HG0001200.1	intron 	2695852	2695958	108
ID=HORVU.MOREX.r3.1HG0001200.1	intron 	2696361	2696909	550
ID=HORVU.MOREX.r3.1HG0001200.1	intron 	2697232	2697306	76
ID=HORVU.MOREX.r3.1HG0001240.1	intron 	2780287	2780417	132
ID=HORVU.MOREX.r3.1HG0001240.1	intron 	2780850	2781879	1031
ID=HORVU.MOREX.r3.1HG0001300.1	intron 	2881897	2881982	87
ID=HORVU.MOREX.r3.1HG0001300.1	intron 	2882060	2882433	375
ID=HORVU.MOREX.r3.1HG0001310.1	intron 	2886157	2886254	99
ID=HORVU.MOREX.r3.1HG0001320.1	intron 	2886822	2886909	89
ID=HORVU.MOREX.r3.1HG0001320.1	intron 	2887320	2887779	461
ID=HORVU.MOREX.r3.1HG0001320.1	intron 	2888075	2888154	81
ID=HORVU.MOREX.r3.1HG0001340.1	intron 	2980345	2985766	5423
ID=HORVU.MOREX.r3.1HG0001340.1	intron 	2985916	2986380	466
ID=HORVU.MOREX.r3.1HG0001340.1	intron 	2986462	2986554	94
ID=HORVU.MOREX.r3.1HG0001360.1	intron 	3128151	3128229	80
ID=HORVU.MOREX.r3.1HG0001360.1	intron 	3128595	3129391	798
ID=HORVU.MOREX.r3.1HG0001390.1	intron 	3152060	3157286	5228
ID=HORVU.MOREX.r3.1HG0001390.1	intron 	3157424	3157871	449
ID=HORVU.MOREX.r3.1HG0001390.1	intron 	3157953	3158037	86
ID=HORVU.MOREX.r3.1HG0001440.1	intron 	3307475	3312701	5228
ID=HORVU.MOREX.r3.1HG0001440.1	intron 	3312839	3313312	475
ID=HORVU.MOREX.r3.1HG0001440.1	intron 	3313394	3313477	85
ID=HORVU.MOREX.r3.1HG0001520.1	intron 	3644511	3644620	111
ID=HORVU.MOREX.r3.1HG0001520.1	intron 	3644732	3644841	111
ID=HORVU.MOREX.r3.1HG0001520.1	intron 	3645016	3645107	93
ID=HORVU.MOREX.r3.1HG0001680.1	intron 	3836417	3836707	292
ID=HORVU.MOREX.r3.1HG0001830.1	intron 	4128645	4128935	292
ID=HORVU.MOREX.r3.1HG0002000.1	intron 	4394404	4395841	1439
ID=HORVU.MOREX.r3.1HG0002030.1	intron 	4412705	4412839	136
ID=HORVU.MOREX.r3.1HG0002030.1	intron 	4412988	4413074	88
ID=HORVU.MOREX.r3.1HG0002030.1	intron 	4413165	4413647	484
ID=HORVU.MOREX.r3.1HG0002030.1	intron 	4413876	4414665	791
