ID	type	start	end	length
ID=HORVU.MOREX.r3.1HG0000130.1	intron three_prime_UTR	377002	377104	104
ID=HORVU.MOREX.r3.1HG0000350.1	intron five_prime_UTR	1156130	1159354	3226
ID=HORVU.MOREX.r3.1HG0001120.1	intron five_prime_UTR	2577943	2580334	2393
ID=HORVU.MOREX.r3.1HG0001400.1	intron five_prime_UTR	3193629	3198818	5191
ID=HORVU.MOREX.r3.1HG0001400.1	intron five_prime_UTR	3198962	3199088	128
ID=HORVU.MOREX.r3.1HG0001510.1	intron three_prime_UTR	3636826	3637410	586
ID=HORVU.MOREX.r3.1HG0002130.1	intron three_prime_UTR	4485231	4485402	173
ID=HORVU.MOREX.r3.1HG0002590.2	intron five_prime_UTR	5347429	5348130	703
ID=HORVU.MOREX.r3.1HG0002890.1	intron five_prime_UTR	5724810	5725443	635
ID=HORVU.MOREX.r3.1HG0003130.1	intron five_prime_UTR	6057798	6059057	1261
ID=HORVU.MOREX.r3.1HG0003950.1	intron five_prime_UTR	8532895	8533800	907
ID=HORVU.MOREX.r3.1HG0003950.2	intron five_prime_UTR	8532895	8533796	903
ID=HORVU.MOREX.r3.1HG0004660.1	intron three_prime_UTR	9409912	9413869	3959
ID=HORVU.MOREX.r3.1HG0004890.1	intron three_prime_UTR	9619527	9620938	1413
ID=HORVU.MOREX.r3.1HG0005170.1	intron three_prime_UTR	10222349	10222427	80
ID=HORVU.MOREX.r3.1HG0005170.1	intron three_prime_UTR	10222497	10222630	135
ID=HORVU.MOREX.r3.1HG0005840.1	intron five_prime_UTR	12108063	12109949	1888
ID=HORVU.MOREX.r3.1HG0006490.1	intron five_prime_UTR	13470389	13470681	294
ID=HORVU.MOREX.r3.1HG0006580.1	intron five_prime_UTR	13868008	13868225	219
ID=HORVU.MOREX.r3.1HG0006660.1	intron five_prime_UTR	14101582	14102831	1251
ID=HORVU.MOREX.r3.1HG0007910.1	intron three_prime_UTR	16534074	16534304	232
ID=HORVU.MOREX.r3.1HG0008820.1	intron five_prime_UTR	20818973	20819378	407
ID=HORVU.MOREX.r3.1HG0010930.1	intron five_prime_UTR	25742824	25745080	2258
ID=HORVU.MOREX.r3.1HG0011110.1	intron five_prime_UTR	26478244	26479581	1339
ID=HORVU.MOREX.r3.1HG0011370.1	intron three_prime_UTR	27498380	27501371	2993
ID=HORVU.MOREX.r3.1HG0012180.1	intron five_prime_UTR	29625011	29625132	123
ID=HORVU.MOREX.r3.1HG0012250.2	intron five_prime_UTR	29888228	29888327	101
ID=HORVU.MOREX.r3.1HG0012250.3	intron five_prime_UTR	29888228	29888327	101
ID=HORVU.MOREX.r3.1HG0013690.1	intron five_prime_UTR	34714691	34716123	1434
ID=HORVU.MOREX.r3.1HG0014180.1	intron five_prime_UTR	36894157	36894895	740
ID=HORVU.MOREX.r3.1HG0014180.2	intron five_prime_UTR	36894157	36894774	619
ID=HORVU.MOREX.r3.1HG0014320.1	intron five_prime_UTR	37260779	37261310	533
ID=HORVU.MOREX.r3.1HG0014570.1	intron three_prime_UTR	38480198	38481604	1408
ID=HORVU.MOREX.r3.1HG0014570.2	intron three_prime_UTR	38480198	38481604	1408
ID=HORVU.MOREX.r3.1HG0014570.2	intron five_prime_UTR	38482484	38483441	959
ID=HORVU.MOREX.r3.1HG0014570.3	intron three_prime_UTR	38480198	38481604	1408
ID=HORVU.MOREX.r3.1HG0014570.3	intron five_prime_UTR	38482484	38483441	959
ID=HORVU.MOREX.r3.1HG0015170.1	intron five_prime_UTR	41485491	41486649	1160
ID=HORVU.MOREX.r3.1HG0016030.1	intron five_prime_UTR	45906821	45906923	104
ID=HORVU.MOREX.r3.1HG0016500.1	intron three_prime_UTR	48532571	48532662	93
ID=HORVU.MOREX.r3.1HG0016500.1	intron three_prime_UTR	48532748	48533976	1230
ID=HORVU.MOREX.r3.1HG0016500.2	intron three_prime_UTR	48530961	48532662	1703
ID=HORVU.MOREX.r3.1HG0016500.2	intron three_prime_UTR	48532748	48533976	1230
ID=HORVU.MOREX.r3.1HG0017110.1	intron five_prime_UTR	52353307	52354053	748
ID=HORVU.MOREX.r3.1HG0017250.1	intron five_prime_UTR	53703392	53704020	630
ID=HORVU.MOREX.r3.1HG0017760.1	intron five_prime_UTR	56665546	56666520	976
ID=HORVU.MOREX.r3.1HG0018150.1	intron five_prime_UTR	58128351	58128657	308
ID=HORVU.MOREX.r3.1HG0018210.1	intron three_prime_UTR	58309078	58310024	948
ID=HORVU.MOREX.r3.1HG0018270.1	intron three_prime_UTR	59552391	59553278	889
ID=HORVU.MOREX.r3.1HG0018740.1	intron five_prime_UTR	62376531	62377117	588
ID=HORVU.MOREX.r3.1HG0018740.1	intron five_prime_UTR	62377224	62377312	90
ID=HORVU.MOREX.r3.1HG0018740.1	intron five_prime_UTR	62377377	62377960	585
ID=HORVU.MOREX.r3.1HG0019060.1	intron five_prime_UTR	64397315	64397420	107
ID=HORVU.MOREX.r3.1HG0019060.1	intron five_prime_UTR	64397452	64397627	177
ID=HORVU.MOREX.r3.1HG0019410.1	intron five_prime_UTR	67847927	67848130	205
ID=HORVU.MOREX.r3.1HG0019930.1	intron three_prime_UTR	70887547	70887620	75
ID=HORVU.MOREX.r3.1HG0020190.1	intron five_prime_UTR	72032747	72033319	574
ID=HORVU.MOREX.r3.1HG0020220.1	intron five_prime_UTR	72121670	72125834	4166
ID=HORVU.MOREX.r3.1HG0020320.1	intron three_prime_UTR	72554767	72554846	81
ID=HORVU.MOREX.r3.1HG0020990.1	intron three_prime_UTR	75667407	75667589	184
ID=HORVU.MOREX.r3.1HG0021100.1	intron three_prime_UTR	76570941	76571072	133
ID=HORVU.MOREX.r3.1HG0021100.1	intron three_prime_UTR	76571177	76571534	359
ID=HORVU.MOREX.r3.1HG0021100.1	intron three_prime_UTR	76571644	76571804	162
ID=HORVU.MOREX.r3.1HG0022360.1	intron five_prime_UTR	83115051	83116159	1110
ID=HORVU.MOREX.r3.1HG0022400.1	intron five_prime_UTR	83230224	83230291	69
ID=HORVU.MOREX.r3.1HG0022450.1	intron five_prime_UTR	83471650	83471802	154
ID=HORVU.MOREX.r3.1HG0022450.1	intron five_prime_UTR	83471977	83472534	559
ID=HORVU.MOREX.r3.1HG0023840.1	intron five_prime_UTR	92638689	92639418	731
ID=HORVU.MOREX.r3.1HG0023940.1	intron five_prime_UTR	93471702	93471817	117
ID=HORVU.MOREX.r3.1HG0023990.1	intron three_prime_UTR	93939518	93939623	107
ID=HORVU.MOREX.r3.1HG0024230.1	intron three_prime_UTR	96154498	96161255	6759
ID=HORVU.MOREX.r3.1HG0024800.1	intron five_prime_UTR	99690672	99692115	1445
ID=HORVU.MOREX.r3.1HG0025350.1	intron five_prime_UTR	102623791	102624748	959
ID=HORVU.MOREX.r3.1HG0025990.1	intron five_prime_UTR	109812572	109812662	92
ID=HORVU.MOREX.r3.1HG0026030.1	intron five_prime_UTR	110180217	110180659	444
ID=HORVU.MOREX.r3.1HG0026720.2	intron five_prime_UTR	114825163	114825332	171
ID=HORVU.MOREX.r3.1HG0027180.1	intron five_prime_UTR	120360419	120361852	1435
ID=HORVU.MOREX.r3.1HG0027180.1	intron five_prime_UTR	120361916	120361983	69
ID=HORVU.MOREX.r3.1HG0027180.2	intron five_prime_UTR	120360419	120361852	1435
ID=HORVU.MOREX.r3.1HG0027180.2	intron five_prime_UTR	120361916	120361983	69
ID=HORVU.MOREX.r3.1HG0027180.2	intron five_prime_UTR	120362122	120362194	74
ID=HORVU.MOREX.r3.1HG0027190.1	intron five_prime_UTR	120656627	120657505	880
ID=HORVU.MOREX.r3.1HG0029080.1	intron five_prime_UTR	133197316	133198621	1307
ID=HORVU.MOREX.r3.1HG0030120.1	intron three_prime_UTR	145423549	145424083	536
ID=HORVU.MOREX.r3.1HG0030320.2	intron five_prime_UTR	148342870	148362772	19904
ID=HORVU.MOREX.r3.1HG0030320.2	intron five_prime_UTR	148362899	148363070	173
ID=HORVU.MOREX.r3.1HG0030320.3	intron five_prime_UTR	148342870	148363070	20202
ID=HORVU.MOREX.r3.1HG0030730.1	intron five_prime_UTR	151402333	151402777	446
ID=HORVU.MOREX.r3.1HG0030970.1	intron three_prime_UTR	152385418	152385497	81
ID=HORVU.MOREX.r3.1HG0031520.1	intron five_prime_UTR	156663527	156672113	8588
ID=HORVU.MOREX.r3.1HG0032760.2	intron three_prime_UTR	169067654	169067736	84
ID=HORVU.MOREX.r3.1HG0033390.1	intron five_prime_UTR	175288095	175288209	116
ID=HORVU.MOREX.r3.1HG0033390.2	intron five_prime_UTR	175288095	175288209	116
ID=HORVU.MOREX.r3.1HG0033390.3	intron five_prime_UTR	175288095	175288209	116
ID=HORVU.MOREX.r3.1HG0033390.4	intron five_prime_UTR	175288095	175288209	116
ID=HORVU.MOREX.r3.1HG0033390.5	intron five_prime_UTR	175288095	175288209	116
ID=HORVU.MOREX.r3.1HG0033710.1	intron five_prime_UTR	178073121	178073228	109
ID=HORVU.MOREX.r3.1HG0033790.1	intron five_prime_UTR	179104070	179104305	237
ID=HORVU.MOREX.r3.1HG0034640.1	intron three_prime_UTR	191429002	191429994	994
